est; (he/she/it) is; 1
Estō!; All right!; 20
ēsuriō, -īre, ---, -ītūrus; to be hungry; 19
et, conj.; and; 1
etiam, adv.; also, even; 1, 6, 13
Eugepae! interj.; Hurray!; 7
eum; him, it; 5
ex or ē, prep. + abl.; from, out of; 2, 5, 9
excipiō, excipere, excēpī, exceptus; to welcome, receive, catch; 5, 16, 22
excitō, -āre, -āvī, -ātus; to rouse, wake (someone) up; 8
excitātus, -a, -um; wakened, aroused; 25
exclāmō, -āre, -āvī, -ātus; to exclaim, shout out; 10
exeō, exīre, exiī or exīvī, exitūrus, irreg.; to go out; 5, 23 '
explicō, -āre, -āvī, -ātus; to explain; 19
	rem explicāre; to explain the situation; 19
exspectō, -āre, -āvī, -ātus; to look out for, wait for; 15
exstāns, exstantis; standing out, towering; 23
extendō, extendere, extendī, extentus; to hold out; ( 18
extrā, prep.+ acc.; outside; 23
extrahō, extrahere, extrāxī, extractus; to drag out, take out; 14, 21
fabula, -ae, f.; story; 20
faciō, facere, fēcī, factus; to make, do; 1, 23
	iter facere; to travel, to make a journey; 13
	Quid facit .... ?; What does ... do? What is ... doing?; 1
	Quid fēcit ... ?; What did ... do?; 19
factiō, factiōnis, f.; company (of charioteers); 27
fatuus, -a, -um; stupid; 13
faveō, favere, fāvī, fautūrus (+ dat.); to give favor (to), favor, support; 27
fēlēs, fēlis, gen. pl., fēlium, f.; cat; 21
fēmina, -ae, f.; woman; 3
fēriae, -ārum, f. pl.; holiday, festival day; 27
fēriātus, -a, -um; celebrating a holiday; 27
feriō, -īre; to hit, strike; 16
ferō, ferre, tulī, lātus, irreg.; to bring, carry, bear; 5, 12, 17, 21
	Fer/Ferte auxilium!; Bring help! Help!; 5
ferociter, adv.; fiercely; 13
festīnō, -āre, -āvī, -ātūrus; to hurry; 9
fīlia, -ae, f.; daughter; 11
fīlius, -ī, m.; son; 11
fīniō, -īre, -īvi, -ītus; to finish; 21
fortasse, adv.; perhaps; 15
fortis, -is, -e; brave, strong; 18
Forum, -ī, n.; the Forum (city center of Rome); 25
fossa, -ae, f.; ditch; 12
fragor, fragōris, m.; crash, noise, din; 4
frāter, frātris, m.; brother; 11
frigidus, -a, -um; cool, cold; 5
frōns, frontis, gen. pl., frontium, f.; forehead; 12
frustrā, adv.; in vain; 14
fugiō, fugere, fūgī, fugitūrus; to flee; 18, 25
fuī; (see sum)
furtim, adv.; stealthily; 4, 13

G

Gādēs, Gādium, f. pl.; Gades (Cadiz, a town in Spain); 21
gaudeō, gaudēre; to be glad, rejoice; 14
gaudium, -ī, n.; joy; 23
gemō, gemere, gemuī, gemitus; to groan; 3
gerō, gerere, gessī, gestus; to wear; 10
gladius, -ī, m.; sword; 26
	gladium stringere; to draw a sword; 26
Graecia, -ae, f.; Greece; 21
Graecus, -a, -um; Greek; 17
Graecī, -ōrum, m. pl.; the Greeks; (I)
gratia, -ae, f.; gratitude, thanks; 26
	Gratiās tibi agō!; I thank you! Thank you!; 26
habēnae, -ārum, f. pl,; reins; 22
habeō, -ēre, -uī, -ītus; to have, hold; 10, 20, 26
	in animō habēre; to intend; 16
	ōrātiōnem habēre; to deliver a speech; 26
habitō, -āre, -āvī, -ātus; to live, dwell; 1
hāc; this; 25
haereō, haerēre, haesī, haesūrus; to stick; 14
heri, adv.; yesterday; 20
hī; these; 18
hīc, adv.; here; 9, 13
hic, haec, hoc; this, the latter; 18, 19, 20, 25, 26
hodiē, adv.; today; 2, 13
homō, hominis, m.; man; 18
	hominēs, hominum, m. pl.; people; 15
hōra, -ae, f.; hour; 9
hortus, -ī, m.; garden; 3
hospes, hospitis, m./f.; host, guest,friend; 16
hūc illūc, adv.; here and there, this way and that; 23
huius; genitive of hic; 25
humī; on the ground; 27
iaceō, -ēre, -uī, -ītūrus, to lie, be lying down; 26
iaciō, iacere, iēcī, iactus; to throw; 10, 20
iam, adv.; now, already; 1, 8, 13
non iam, adv.; no longer; 2, 13
iānitor, iānitōris, m .; doorkeeper; 9
iānua, -ae, f.; door; 9
ibi, adv.; there; 5, 13
id; (see is);
	id quod; that which, what; 11
īdem, eadem, idem; the same; 3
identidem, adv.; again and again, repeatedly; 13
igitur, conj.; therefore; 4
ignāvus, -a, -um; cowardly, lazy; 5
ille, illa, illud; that, he, she, it, the former; 11, 15, 16, 20, 22, 25, 26
illūc, adv.; there, to that place; 23
hūc illūc, adv.; here and there, this way and that; 23
imber, imbris, gen. pl., imbrium, m.; rain; 23
immemor, immemoris (+ gen.); forgetful; 22
immōbilis, -is, -e; motionless; 12
impediō, -īre, -īvī, -itus; to hinder, prevent; 11
in, prep. + abl.; in, on; 1, 9
	in animō habēre; to intend; 16
	in itinere; on ajourney; 10
in, prep.+ acc.; into, against; 3, 9
incitō, -āre, -āvī, -ātus; to spur on, urge on, drive; 10
incolumis, -is, -e; unhurt, safe and sound; 14
induō, induere, induī, indūtus; to put on; 8, 23
īnfirmus, -a, -um; weak, shaky; 4
ingēns, ingentis; huge, enormous; 22
innocentia, -ae, f.; innocence; 21
inquit; (he/she) says, said; 7
īnspicio, īnspicere, īnspexī, inspectus; to examine; 21
interdiū, adv.; during the day, by day; 23
intereā, adv.; meanwhile; 10, 13
interpellō, -āre, -āvī, -ātus; to interrupt; 14
intrā, prep. + acc.; inside; 22
intrō, -āre, -āvī, -ātus; to enter, go into; 8, 19
inūrō, inūrere, inūssī, inūstus; to brand; 12
inveniō, invenīre, invēnī, inventus; to discover, come upon, find; 12, 21
invītus, -a, -um; unwilling; 21
iocus, -ī, m.; joke, prank; 16
	per iocum; as a prank; 16
ipse, ipsa, ipsum; himself, herself, itself, themselves, very; 6, 10
īra, -ae, f.; anger; 11
īrātus, -a, -um; angry; 3
īre; (see eō); 7, 17
is, ea, id; he, she, it; this, that; 27
ita, adv.; thus, so, in this way; 3, 13, 21
	ita vērō! adv.; Yes! Indeed!; 3, 13
Italia, -ae, f.; Italy; 1
itaque, adv.; and so, therefore; 16
iter, itineris, n.; joumey; 10, 13, 15
	iter facere; to travel; ( 13
iterum, adv.; again, a second time; 8, 13
iubeō, iubēre, iussī, iussus; to order, bid; 10, 19, 21
labor, labōris, m.; work, toil; 24
labōrō, -āre, -āvī, -ātus; to work; 3
	laborantēs; working; 7
lacrimō, -āre, -āvī, -ātus; to weep, cry; 9
	lacrimāns; weeping; 9
laetus, -a, -um; happy, glad; 1
lāna, -ae, f.; wool; 6
	lanam trahere; to spin wool; 6
lapis, lapidis, m.; stone; 25
latrō, -āre, -āvī, -ātūrus; to bark; 12
	latrantēs; barking; 18
laudō, -āre, -āvī, -ātus; to praise; 18
lavō, lavāre, lāvī, lautus; to wash; 20
lectīca, -ae, f.; litter; 23
lectīcārius, -ī, m.; litter-bearer; 23
lectus, -ī, m.; bed, couch; 19
lēgātus, -ī, m.; envoy, ambassador, legate; 18
legō, legere, lēgī, lectus; to read; 1, 24
lentē, adv.; slowly; 2, 13
liber, librī, m.; book; 24
līberī, -ōrum, m. pl.; children; 10, 11
lībertās, lībertātis, f.; freedom; 21
licet, licere, licuit (+ dat.); it is allowed; 20, 24
	licet nōbīs; we are allowed, we may; 20
littera, -ae, f.; letter (of the alphabet); 12
longus, -a, -um; long; 15
lūcet, lūcēre, lūxit; it is light, it is day; 6
lūdī, -ōrum, m. pl.; games; 24
	lūdī circēnsēs; games in the circus chariot races; 27
lūdō, lūdere, lūsī, lūsūrus; to play; 16
	pilā lūdere; to play ball; 16
ludus, -ī, m.; school; 26
lupa, -ae, f.; she-wolf; (II)
lupus, -ī, m., wolf; 5
lutum, -ī, n.; mud; 26
lūx, lūcis, f.; light; 21
	prīmā lūce; at dawn; 21
magnificus, -a, -um; magnificent; 24
magnus, -a, -um; big, great, large, loud (voice, laugh); 4
